resultado,is_team_a_host,is_team_b_host,rank_a,valor_a,vitorias_4a_a,rank_b,valor_b,vitorias_4a_b,gols_elite_a,ast_elite_a,minutos_elite_a,gols_elite_b,ast_elite_b,minutos_elite_b,region_name_a_Caribbean,region_name_a_Central America,region_name_a_East Asia,region_name_a_Europe,"region_name_a_Europe, Asia",region_name_a_Middle East,region_name_a_North America,region_name_a_Oceania,region_name_a_South America,region_name_b_Caribbean,region_name_b_Central America,region_name_b_East Asia,region_name_b_Europe,"region_name_b_Europe, Asia",region_name_b_Middle East,region_name_b_North America,region_name_b_Oceania,region_name_b_South America,confederation_name_a_Confederation of African Football,"confederation_name_a_Confederation of North, Central American and Caribbean Association Football",confederation_name_a_Oceania Football Confederation,confederation_name_a_South American Football Confederation,confederation_name_a_Union of European Football Associations,confederation_name_b_Confederation of African Football,"confederation_name_b_Confederation of North, Central American and Caribbean Association Football",confederation_name_b_Oceania Football Confederation,confederation_name_b_South American Football Confederation,confederation_name_b_Union of European Football Associations,Round_Group stage,Round_Quarter-finals,Round_Round of 16,Round_Semi-finals,Round_Third-place match
1.0,0,0,24.0,154000000.0,39.0,12.0,377000000.0,24.0,27.0,30.0,29093.0,,,,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2.0,0,0,1.0,1140000000.0,37.0,,,,233.0,114.0,122674.0,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2.0,0,0,4.0,1030000000.0,31.0,26.0,255600000.0,22.0,552.0,415.0,374493.0,42.0,25.0,31825.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2.0,0,0,5.0,1260000000.0,33.0,18.0,228000000.0,33.0,374.0,249.0,233879.0,89.0,60.0,67795.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
2.0,0,0,8.0,587250000.0,30.0,16.0,277400000.0,37.0,,,,49.0,31.0,35975.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False
2.0,0,0,3.0,645200000.0,33.0,38.0,38400000.0,21.0,180.0,111.0,112033.0,1.0,3.0,8120.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2.0,0,0,,,,9.0,937000000.0,30.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,61.0,216900000.0,16.0,14.0,449700000.0,20.0,38.0,26.0,33557.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2.0,0,0,43.0,155000000.0,19.0,1.0,1140000000.0,37.0,49.0,25.0,28618.0,233.0,114.0,122674.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0.0,0,0,21.0,359500000.0,25.0,15.0,281000000.0,22.0,34.0,19.0,35212.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,41.0,187300000.0,31.0,22.0,241100000.0,32.0,23.0,10.0,8448.0,73.0,61.0,43098.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
1.0,0,0,12.0,377000000.0,24.0,2.0,563200000.0,35.0,,,,76.0,70.0,74684.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,31.0,18750000.0,20.0,11.0,885500000.0,26.0,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,24.0,154000000.0,39.0,7.0,877000000.0,31.0,27.0,30.0,29093.0,557.0,479.0,505019.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,38.0,38400000.0,21.0,10.0,353000000.0,31.0,1.0,3.0,8120.0,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,30.0,62400000.0,33.0,4.0,1030000000.0,31.0,9.0,6.0,9891.0,552.0,415.0,374493.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,51.0,25200000.0,24.0,13.0,176100000.0,39.0,,,,11.0,5.0,7578.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.0,0,0,26.0,255600000.0,22.0,3.0,645200000.0,33.0,42.0,25.0,31825.0,180.0,111.0,112033.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0.0,0,0,44.0,146500000.0,18.0,18.0,228000000.0,33.0,6.0,4.0,8678.0,89.0,60.0,67795.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
2.0,0,1,8.0,587250000.0,30.0,50.0,14900000.0,38.0,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.0,0,0,,,,16.0,277400000.0,37.0,,,,49.0,31.0,35975.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.0,0,0,19.0,160150000.0,21.0,5.0,1260000000.0,33.0,19.0,15.0,17576.0,374.0,249.0,233879.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
1.0,0,0,43.0,155000000.0,19.0,21.0,359500000.0,25.0,49.0,25.0,28618.0,34.0,19.0,35212.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,,,,61.0,216900000.0,16.0,,,,38.0,26.0,33557.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.0,0,0,1.0,1140000000.0,37.0,15.0,281000000.0,22.0,233.0,114.0,122674.0,,,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,9.0,937000000.0,30.0,14.0,449700000.0,20.0,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0.0,0,0,24.0,154000000.0,39.0,31.0,18750000.0,20.0,27.0,30.0,29093.0,,,,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.0,0,0,2.0,563200000.0,35.0,22.0,241100000.0,32.0,76.0,70.0,74684.0,73.0,61.0,43098.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
2.0,0,0,12.0,377000000.0,24.0,41.0,187300000.0,31.0,,,,23.0,10.0,8448.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1.0,0,0,7.0,877000000.0,31.0,11.0,885500000.0,26.0,557.0,479.0,505019.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,30.0,62400000.0,33.0,38.0,38400000.0,21.0,9.0,6.0,9891.0,1.0,3.0,8120.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2.0,0,0,26.0,255600000.0,22.0,51.0,25200000.0,24.0,42.0,25.0,31825.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.0,0,0,4.0,1030000000.0,31.0,10.0,353000000.0,31.0,552.0,415.0,374493.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
2.0,0,0,3.0,645200000.0,33.0,13.0,176100000.0,39.0,180.0,111.0,112033.0,11.0,5.0,7578.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
0.0,0,0,19.0,160150000.0,21.0,,,,19.0,15.0,17576.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.0,1,0,50.0,14900000.0,38.0,18.0,228000000.0,33.0,,,,89.0,60.0,67795.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.0,0,0,8.0,587250000.0,30.0,44.0,146500000.0,18.0,,,,6.0,4.0,8678.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
1.0,0,0,5.0,1260000000.0,33.0,16.0,277400000.0,37.0,374.0,249.0,233879.0,49.0,31.0,35975.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
2.0,0,0,15.0,281000000.0,22.0,43.0,155000000.0,19.0,,,,49.0,25.0,28618.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
1.0,0,0,14.0,449700000.0,20.0,,,,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.0,0,0,9.0,937000000.0,30.0,61.0,216900000.0,16.0,,,,38.0,26.0,33557.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
2.0,0,0,1.0,1140000000.0,37.0,21.0,359500000.0,25.0,233.0,114.0,122674.0,34.0,19.0,35212.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
1.0,0,0,22.0,241100000.0,32.0,12.0,377000000.0,24.0,73.0,61.0,43098.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,11.0,885500000.0,26.0,24.0,154000000.0,39.0,,,,27.0,30.0,29093.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.0,0,0,7.0,877000000.0,31.0,31.0,18750000.0,20.0,557.0,479.0,505019.0,,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
2.0,0,0,2.0,563200000.0,35.0,41.0,187300000.0,31.0,76.0,70.0,74684.0,23.0,10.0,8448.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
0.0,0,0,3.0,645200000.0,33.0,51.0,25200000.0,24.0,180.0,111.0,112033.0,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1.0,0,0,10.0,353000000.0,31.0,30.0,62400000.0,33.0,,,,9.0,6.0,9891.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
1.0,0,0,13.0,176100000.0,39.0,26.0,255600000.0,22.0,11.0,5.0,7578.0,42.0,25.0,31825.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,4.0,1030000000.0,31.0,38.0,38400000.0,21.0,552.0,415.0,374493.0,1.0,3.0,8120.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.0,0,0,5.0,1260000000.0,33.0,,,,374.0,249.0,233879.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.0,0,0,18.0,228000000.0,33.0,8.0,587250000.0,30.0,89.0,60.0,67795.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
1.0,0,0,16.0,277400000.0,37.0,19.0,160150000.0,21.0,49.0,31.0,35975.0,19.0,15.0,17576.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,1,0,50.0,14900000.0,38.0,44.0,146500000.0,18.0,,,,6.0,4.0,8678.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2.0,0,0,7.0,1029470000.0,33.0,20.0,363640000.0,25.0,552.0,415.0,374493.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2.0,0,0,3.0,753250000.0,30.0,12.0,873130000.0,29.0,76.0,70.0,74684.0,374.0,249.0,233879.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2.0,0,0,20.0,363640000.0,25.0,12.0,873130000.0,29.0,,,,374.0,249.0,233879.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
2.0,0,0,7.0,1029470000.0,33.0,3.0,753250000.0,30.0,552.0,415.0,374493.0,76.0,70.0,74684.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
0.0,0,0,24.0,119640000.0,20.0,12.0,873130000.0,29.0,50.0,34.0,35512.0,374.0,249.0,233879.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
1.0,1,0,70.0,161640000.0,15.0,20.0,363640000.0,25.0,5.0,5.0,3457.0,,,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
0.0,0,0,14.0,372630000.0,21.0,7.0,1029470000.0,33.0,,,,552.0,415.0,374493.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
0.0,0,0,2.0,980020000.0,33.0,3.0,753250000.0,30.0,233.0,114.0,122674.0,76.0,70.0,74684.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
2.0,0,0,24.0,119640000.0,20.0,6.0,217880000.0,25.0,50.0,34.0,35512.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
1.0,0,0,16.0,250850000.0,19.0,12.0,873130000.0,29.0,40.0,30.0,25187.0,374.0,249.0,233879.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2.0,0,0,2.0,980020000.0,33.0,15.0,152150000.0,37.0,233.0,114.0,122674.0,11.0,5.0,7578.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
2.0,0,0,3.0,753250000.0,30.0,61.0,75520000.0,28.0,76.0,70.0,74684.0,27.0,30.0,29093.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,0,1,10.0,973030000.0,29.0,70.0,161640000.0,15.0,557.0,479.0,505019.0,5.0,5.0,3457.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
1.0,0,0,20.0,363640000.0,25.0,12.0,259040000.0,17.0,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
2.0,0,0,7.0,1029470000.0,33.0,5.0,678320000.0,27.0,552.0,415.0,374493.0,180.0,111.0,112033.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
2.0,0,0,14.0,372630000.0,21.0,4.0,494010000.0,33.0,,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0.0,0,0,61.0,75520000.0,28.0,8.0,274280000.0,22.0,27.0,30.0,29093.0,42.0,25.0,31825.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,27.0,299200000.0,27.0,16.0,250850000.0,19.0,89.0,60.0,67795.0,40.0,30.0,25187.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
0.0,0,0,12.0,873130000.0,29.0,3.0,753250000.0,30.0,374.0,249.0,233879.0,76.0,70.0,74684.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,55.0,6270000.0,17.0,21.0,58820000.0,21.0,2.0,1.0,989.0,9.0,6.0,9891.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
2.0,0,0,,,,1.0,882120000.0,30.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,15.0,152150000.0,37.0,24.0,119640000.0,20.0,11.0,5.0,7578.0,50.0,34.0,35512.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
1.0,0,0,6.0,217880000.0,25.0,23.0,39960000.0,21.0,,,,,,,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
0.0,0,0,34.0,283720000.0,16.0,2.0,980020000.0,33.0,34.0,19.0,35212.0,233.0,114.0,122674.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
0.0,0,0,36.0,50210000.0,23.0,11.0,38480000.0,26.0,1.0,3.0,8120.0,1.0,0.0,285.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
1.0,0,0,12.0,259040000.0,17.0,7.0,1029470000.0,33.0,,,,552.0,415.0,374493.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,22.0,75380000.0,24.0,20.0,363640000.0,25.0,24.0,9.0,10358.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
0.0,0,0,48.0,134720000.0,16.0,5.0,678320000.0,27.0,63.0,34.0,33152.0,180.0,111.0,112033.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
2.0,0,0,67.0,18800000.0,25.0,45.0,197030000.0,23.0,,,,14.0,13.0,5940.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.0,0,1,14.0,372630000.0,21.0,70.0,161640000.0,15.0,,,,5.0,5.0,3457.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
1.0,0,0,10.0,973030000.0,29.0,41.0,129330000.0,26.0,557.0,479.0,505019.0,73.0,61.0,43098.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
1.0,0,0,,,,4.0,494010000.0,33.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2.0,0,0,12.0,873130000.0,29.0,55.0,6270000.0,17.0,374.0,249.0,233879.0,2.0,1.0,989.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
1.0,0,0,61.0,75520000.0,28.0,27.0,299200000.0,27.0,27.0,30.0,29093.0,89.0,60.0,67795.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.0,0,0,8.0,274280000.0,22.0,16.0,250850000.0,19.0,42.0,25.0,31825.0,40.0,30.0,25187.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
2.0,0,0,3.0,753250000.0,30.0,21.0,58820000.0,21.0,76.0,70.0,74684.0,9.0,6.0,9891.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False
0.0,0,0,,,,15.0,152150000.0,37.0,,,,11.0,5.0,7578.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2.0,0,0,1.0,882120000.0,30.0,24.0,119640000.0,20.0,,,,50.0,34.0,35512.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
2.0,0,0,2.0,980020000.0,33.0,23.0,39960000.0,21.0,233.0,114.0,122674.0,,,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
2.0,0,0,48.0,134720000.0,16.0,22.0,75380000.0,24.0,63.0,34.0,33152.0,24.0,9.0,10358.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
0.0,0,0,34.0,283720000.0,16.0,6.0,217880000.0,25.0,34.0,19.0,35212.0,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
1.0,0,0,12.0,259040000.0,17.0,36.0,50210000.0,23.0,,,,1.0,3.0,8120.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
