player_id,family_name,given_name,birth_date,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments
P-00547,Buchan,Martin,1949-03-06,0,1,0,0,2,"1974, 1978"
P-00132,Buffon,Gianluigi,1978-01-28,1,0,0,0,5,"1998, 2002, 2006, 2010, 2014"
P-01959,Bürger,Rudolf,1908-10-31,0,1,0,0,3,"1930, 1934, 1938"
P-00130,Burgnich,Tarcisio,1939-04-25,0,1,0,0,3,"1966, 1970, 1974"
P-06100,Busquets,Sergio,1988-07-16,0,0,1,0,3,"2010, 2014, 2018"
P-04039,Butcher,Terry,1958-12-28,0,1,0,0,3,"1982, 1986, 1990"
P-05983,Butt,Hans-Jörg,1974-05-28,1,0,0,0,2,"2002, 2010"
P-08791,Cabrera,Wílmer,1967-09-15,0,1,0,0,2,"1990, 1998"
P-05548,Cabrini,Antonio,1957-10-08,0,1,0,0,3,"1978, 1982, 1986"
P-08854,Cáceres,Julio César,1979-10-05,0,1,0,0,3,"2002, 2006, 2010"
P-06884,Cáceres,Martín,1987-04-07,0,1,0,0,3,"2010, 2014, 2018"
P-08047,Caetano,Omar,1938-11-08,0,1,1,0,2,"1966, 1970"
P-08404,Cafu,not applicable,1970-06-07,0,1,0,0,4,"1994, 1998, 2002, 2006"
P-09745,Cahill,Tim,1979-12-06,0,0,1,1,4,"2006, 2010, 2014, 2018"
P-06701,Čajkovski,Zlatko,1923-11-24,0,0,1,0,2,"1950, 1954"
P-08311,Caju,not applicable,1949-06-16,0,0,1,0,2,"1970, 1974"
P-05386,Calderón,Gabriel,1960-02-07,0,0,0,1,2,"1982, 1990"
P-02951,Calderón,Ignacio,1943-12-13,1,0,0,0,2,"1966, 1970"
P-06823,Campbell,Sol,1974-09-18,0,1,0,0,3,"1998, 2002, 2006"
P-09357,Campos,Jorge,1966-10-15,1,0,0,0,3,"1994, 1998, 2002"
P-00913,Caniggia,Claudio,1967-01-09,0,0,0,1,3,"1990, 1994, 2002"
P-02028,Caniza,Denis,1974-08-29,0,1,0,0,4,"1998, 2002, 2006, 2010"
P-00136,Cañizares,Santiago,1969-12-18,1,0,0,0,3,"1994, 1998, 2006"
P-08617,Cannavaro,Fabio,1973-09-13,0,1,0,0,4,"1998, 2002, 2006, 2010"
P-04421,Cappello,Gino,1920-06-02,0,0,0,1,2,"1950, 1954"
P-00727,Carbajal,Antonio,1929-06-07,1,0,0,0,5,"1950, 1954, 1958, 1962, 1966"
P-05812,Cárdenas,Raúl,1928-10-30,0,1,1,0,3,"1954, 1958, 1962"
P-09143,Carlos,not applicable,1956-03-04,1,0,0,0,3,"1978, 1982, 1986"
P-06808,Carlos,Roberto,1973-04-10,0,1,0,0,3,"1998, 2002, 2006"
P-06875,Casillas,Iker,1981-05-20,1,0,0,0,4,"2002, 2006, 2010, 2014"
P-05320,Castilho,Carlos José,1927-11-27,1,0,0,0,4,"1950, 1954, 1958, 1962"
P-07970,Caszely,Carlos,1950-07-05,0,0,0,1,2,"1974, 1982"
P-01918,Causio,Franco,1949-02-01,0,0,1,0,3,"1974, 1978, 1982"
P-00985,Cavani,Edinson,1987-02-14,0,0,0,1,3,"2010, 2014, 2018"
P-08555,César,Júlio,1979-09-03,1,0,0,0,3,"2006, 2010, 2014"
P-06479,Ceulemans,Jan,1957-02-28,0,0,1,0,3,"1982, 1986, 1990"
P-00816,Cha,Du-ri,1980-07-25,0,1,0,1,2,"2002, 2010"
P-08577,Chamot,José,1969-05-17,0,1,0,0,3,"1994, 1998, 2002"
P-03026,Chanov,Viktor,1959-07-21,1,0,0,0,3,"1982, 1986, 1990"
P-00227,Charlton,Bobby,1937-10-11,0,0,1,1,4,"1958, 1962, 1966, 1970"
P-08025,Charlton,Jack,1935-05-08,0,1,0,0,2,"1966, 1970"
P-00634,Cherchesov,Stanislav,1963-09-02,1,0,0,0,2,"1994, 2002"
P-00874,Cherundolo,Steve,1979-02-19,0,1,0,0,3,"2002, 2006, 2010"
P-04303,Christiansen,Jesper,1978-04-24,1,0,0,0,2,"2002, 2010"
P-08318,Chumpitaz,Héctor,1944-04-12,0,1,0,0,2,"1970, 1978"
P-04800,Cissé,Djibril,1981-08-12,0,0,0,1,2,"2002, 2010"
P-03185,Cocu,Phillip,1970-10-29,0,0,1,0,2,"1998, 2006"
P-02804,Cole,Ashley,1980-12-20,0,1,0,0,3,"2002, 2006, 2010"
P-00931,Cole,Joe,1981-11-08,0,0,1,0,3,"2002, 2006, 2010"
P-05404,Collins,John,1968-01-31,0,0,1,0,2,"1990, 1998"
P-08635,Cortés,Julio César,1941-03-29,0,0,1,0,3,"1962, 1966, 1970"
P-06273,Costa,Ricardo,1981-05-16,0,1,0,0,3,"2006, 2010, 2014"
P-07013,Crespo,Hernán,1975-07-05,0,0,0,1,3,"1998, 2002, 2006"
P-07601,Cronqvist,Claes,1944-10-15,0,0,1,0,2,"1970, 1974"
P-05958,Cubilla,Luis,1940-03-28,0,0,1,1,3,"1962, 1970, 1974"
P-01348,Cubillas,Teófilo,1949-03-08,0,0,1,1,3,"1970, 1978, 1982"
P-05060,Cullmann,Bernhard,1949-11-01,0,0,1,0,2,"1974, 1978"
P-04832,Czerniatynski,Alexandre,1960-07-28,0,0,0,1,2,"1982, 1994"
P-06296,Daei,Ali,1969-03-21,0,0,0,1,2,"1998, 2006"
P-04509,Dalglish,Kenny,1951-03-04,0,0,0,1,3,"1974, 1978, 1982"
P-09476,Dasayev,Rinat,1957-06-13,1,0,0,0,3,"1982, 1986, 1990"
P-08049,Davidov,Ivan,1943-10-05,0,0,1,0,2,"1966, 1970"
P-01072,de Jesús Corona,José,1981-01-26,1,0,0,0,3,"2006, 2014, 2018"
P-04810,De Rossi,Daniele,1983-07-24,0,0,1,0,3,"2006, 2010, 2014"
P-09396,De Wilde,Filip,1964-07-05,1,0,0,0,3,"1990, 1994, 1998"
P-06910,De Wolf,Michel,1958-01-19,0,1,0,0,3,"1986, 1990, 1994"
P-05564,del Muro,Jesús,1937-11-30,0,1,0,0,3,"1958, 1962, 1966"
P-09417,Del Piero,Alessandro,1974-11-09,0,0,0,1,3,"1998, 2002, 2006"
P-02254,Delfour,Edmond,1907-11-01,0,0,1,1,3,"1930, 1934, 1938"
P-09494,Delmer,Célestin,1907-02-15,0,0,1,0,2,"1930, 1934"
P-07083,Demaría,Attilio,1909-03-19,0,0,0,1,2,"1930, 1934"
P-04433,Dempsey,Clint,1983-03-09,0,0,1,1,3,"2006, 2010, 2014"
P-03119,Demyanenko,Anatoliy,1959-02-19,0,1,0,0,3,"1982, 1986, 1990"
P-03135,Dermendzhiev,Dinko,1941-06-02,0,0,1,1,3,"1962, 1966, 1970"
P-08763,Deyna,Kazimierz,1947-10-23,0,0,1,0,2,"1974, 1978"
P-04158,Di María,Ángel,1988-02-14,0,0,1,0,3,"2010, 2014, 2018"
P-02774,Díaz,Isidoro,1938-03-14,0,0,1,1,3,"1962, 1966, 1970"
P-06077,Dickinson,Jimmy,1925-04-25,0,0,1,0,2,"1950, 1954"
P-07724,Dida,not applicable,1973-10-07,1,0,0,0,3,"1998, 2002, 2006"
P-09343,Didi,not applicable,1928-10-08,0,0,1,0,3,"1954, 1958, 1962"
P-04461,Dimitrov,Ivan,1935-05-14,0,1,0,0,2,"1962, 1970"
P-02014,Dirceu,not applicable,1952-06-15,0,0,1,1,3,"1974, 1978, 1982"
P-00429,Djourou,Johan,1987-01-18,0,1,0,0,3,"2006, 2014, 2018"
P-01523,Donachie,Willie,1951-10-05,0,1,0,0,2,"1974, 1978"
P-06818,Donovan,Landon,1982-03-04,0,0,1,1,3,"2002, 2006, 2010"
P-07818,dos Santos,Giovani,1989-05-11,0,0,1,1,3,"2010, 2014, 2018"
P-08969,Drogba,Didier,1978-03-11,0,0,0,1,3,"2006, 2010, 2014"
P-01078,Dumitrescu,Ilie,1969-01-06,0,0,0,1,3,"1990, 1994, 1998"
P-00148,Dunga,not applicable,1963-10-31,0,0,1,0,3,"1990, 1994, 1998"
P-05974,Durie,Gordon,1965-12-06,0,0,0,1,2,"1990, 1998"
P-03892,Džemaili,Blerim,1986-04-12,0,0,1,0,3,"2006, 2014, 2018"
P-03684,Echiéjilé,Elderson,1988-01-20,0,1,0,0,2,"2010, 2018"
P-06803,Edinho,not applicable,1955-06-05,0,1,0,0,3,"1978, 1982, 1986"
P-05385,Edström,Ralf,1952-10-07,0,0,0,1,2,"1974, 1978"
P-02293,Edu,not applicable,1949-08-06,0,0,0,1,3,"1966, 1970, 1974"
P-02771,Eggimann,Oliver,1919-01-28,0,0,1,0,2,"1950, 1954"
P-03323,Ejderstedt,Inge,1946-12-24,0,0,1,1,2,"1970, 1974"
P-07094,Ejide,Austin,1984-04-08,1,0,0,0,3,"2002, 2010, 2014"
P-02378,El Haddaoui,Mustafa,1961-07-28,0,0,1,0,2,"1986, 1994"
P-00837,Ely,not applicable,1921-05-14,0,0,1,0,2,"1950, 1954"
P-09873,Emerson,not applicable,1976-04-04,0,0,1,0,2,"1998, 2006"
P-00514,Endō,Yasuhito,1980-01-28,0,0,1,0,3,"2006, 2010, 2014"
P-00381,Enrique,Luis,1970-05-08,0,0,1,0,3,"1994, 1998, 2002"
P-03426,Enyeama,Vincent,1982-08-29,1,0,0,0,3,"2002, 2010, 2014"
P-09102,Erhardt,Herbert,1930-07-06,0,1,0,0,3,"1954, 1958, 1962"
P-03262,Eriksen,Christian,1992-02-14,0,0,1,0,2,"2010, 2018"
P-09881,Eschmann,Norbert,1933-09-19,0,0,1,1,2,"1954, 1962"
P-06766,Espárrago,Víctor,1944-10-06,0,0,1,0,3,"1966, 1970, 1974"
P-00530,Essien,Michael,1982-12-03,0,0,1,0,2,"2006, 2014"
P-03935,Eto'o,Samuel,1981-03-10,0,0,0,1,4,"1998, 2002, 2010, 2014"
P-01502,Fabiański,Łukasz,1985-04-18,1,0,0,0,2,"2006, 2018"
P-03059,Fàbregas,Cesc,1987-05-04,0,0,1,0,3,"2006, 2010, 2014"
P-08952,Facchetti,Giacinto,1942-07-18,0,1,0,0,3,"1966, 1970, 1974"
P-08600,Fatton,Jacques,1925-12-19,0,0,0,1,2,"1950, 1954"
P-00159,Fenyvesi,Máté,1933-09-20,0,0,0,1,3,"1958, 1962, 1966"
P-06624,Ferdinand,Rio,1978-11-07,0,1,0,0,3,"1998, 2002, 2006"
P-01302,Fernandes,Gélson,1986-09-02,0,0,1,0,3,"2010, 2014, 2018"
P-06093,Figueroa,Elías,1946-10-25,0,1,0,0,3,"1966, 1974, 1982"
P-02665,Fillol,Ubaldo,1950-07-21,1,0,0,0,3,"1974, 1978, 1982"
P-03077,Finney,Tom,1922-04-05,0,0,0,1,3,"1950, 1954, 1958"
P-02716,Flohe,Heinz,1948-01-28,0,0,1,0,2,"1974, 1978"
P-06672,Florie,Tom,1897-09-06,0,0,1,1,2,"1930, 1934"
P-08432,Foé,Marc-Vivien,1975-05-01,0,0,1,0,2,"1994, 2002"
P-01628,Forlán,Diego,1979-05-19,0,0,0,1,3,"2002, 2010, 2014"
P-05387,Forlán,Pablo,1945-07-14,0,1,1,0,2,"1966, 1974"
P-04083,Fragoso,Javier,1942-04-19,0,0,0,1,2,"1966, 1970"
P-09130,Fred,not applicable,1983-10-03,0,0,0,1,2,"2006, 2014"
P-08936,Friedel,Brad,1971-05-18,1,0,0,0,3,"1994, 1998, 2002"
P-09920,Gaganelov,Boris,1941-10-07,0,1,0,0,2,"1966, 1970"
P-05180,Galindo,Mario,1951-08-10,0,1,0,0,2,"1974, 1982"
P-09481,Gallagher,Jimmy,1901-06-07,0,0,1,0,2,"1930, 1934"
P-03869,Gamarra,Carlos,1971-02-17,0,1,0,0,3,"1998, 2002, 2006"
P-07220,García Aspe,Alberto,1967-05-11,0,0,1,0,3,"1994, 1998, 2002"
P-04025,Garrincha,not applicable,1933-10-28,0,0,0,1,3,"1958, 1962, 1966"
P-05642,Gattuso,Gennaro,1978-01-09,0,0,1,0,3,"2002, 2006, 2010"
P-05604,Geremi,not applicable,1978-12-20,0,1,0,0,2,"2002, 2010"
P-03957,Gerets,Eric,1954-05-18,0,1,0,0,3,"1982, 1986, 1990"
P-07513,Gerrard,Steven,1980-05-30,0,0,1,0,3,"2006, 2010, 2014"
P-03612,Gérson,not applicable,1941-01-11,0,0,1,0,2,"1966, 1970"
P-06668,Ghodhbane,Kaies,1976-01-07,0,0,1,0,3,"1998, 2002, 2006"
P-04950,Gilmar,not applicable,1930-08-22,1,0,0,0,3,"1958, 1962, 1966"
P-05457,Godín,Diego,1986-02-16,0,1,0,0,3,"2010, 2014, 2018"
P-00428,Gómez,Mario,1985-07-10,0,0,0,1,2,"2010, 2018"
P-03512,Gonsalves,Billy,1908-08-10,0,0,1,1,2,"1930, 1934"
P-00763,González,José Luis,1942-09-14,0,0,1,0,2,"1966, 1970"
P-02273,Gorgoń,Jerzy,1949-07-18,0,1,0,0,2,"1974, 1978"
P-05887,Grabowski,Jürgen,1944-07-07,0,0,0,1,3,"1966, 1970, 1974"
P-00726,Grahn,Ove,1943-05-09,0,0,1,0,2,"1970, 1974"
P-02165,Grigorov,Bozhidar,1945-07-27,0,0,0,1,2,"1970, 1974"
P-00172,Grip,Roland,1941-01-01,0,1,0,0,2,"1970, 1974"
P-04420,Grønkjær,Jesper,1977-08-12,0,0,1,0,2,"2002, 2010"
P-07898,Grosics,Gyula,1926-02-04,1,0,0,0,3,"1954, 1958, 1962"
P-04248,Grün,Georges,1962-01-25,0,1,0,0,3,"1986, 1990, 1994"
P-03552,Guagua,Jorge,1981-09-28,0,1,0,0,2,"2006, 2014"
P-05170,Guardado,Andrés,1986-09-28,0,0,1,0,4,"2006, 2010, 2014, 2018"
P-07680,Gyan,Asamoah,1985-11-22,0,0,0,1,3,"2006, 2010, 2014"
P-09366,Haan,Arie,1948-11-16,0,0,1,0,2,"1974, 1978"
P-00665,Hagberg,Göran,1947-11-08,1,0,0,0,2,"1974, 1978"
P-09707,Hagi,Gheorghe,1965-02-05,0,0,1,0,3,"1990, 1994, 1998"
P-08039,Haller,Helmut,1939-07-21,0,0,0,1,3,"1962, 1966, 1970"
P-08170,Hasebe,Makoto,1984-01-18,0,0,1,0,3,"2010, 2014, 2018"
P-08408,Häßler,Thomas,1966-05-30,0,0,1,0,3,"1990, 1994, 1998"
P-06181,Haynes,Johnny,1934-10-17,0,0,0,1,3,"1954, 1958, 1962"
P-08889,Hedman,Magnus,1973-03-19,1,0,0,0,2,"1994, 2002"
P-00407,Held,Sigfried,1942-08-07,0,0,0,1,2,"1966, 1970"
P-07499,Hellemans,August,1907-09-14,0,0,1,0,2,"1930, 1934"
P-02953,Hellström,Ronnie,1949-02-21,1,0,0,0,3,"1970, 1974, 1978"
P-06999,Henry,Thierry,1977-08-17,0,0,0,1,4,"1998, 2002, 2006, 2010"
P-08815,Hermosillo,Carlos,1964-08-24,0,0,0,1,2,"1986, 1994"
P-04709,Hernández,Guillermo,1942-06-25,0,1,0,0,2,"1966, 1970"
P-07104,Hernández,Javier,1988-06-01,0,0,0,1,3,"2010, 2014, 2018"
P-05545,Herzog,Andi,1968-09-10,0,0,1,0,2,"1990, 1998"
P-02832,Heskey,Emile,1978-01-11,0,0,0,1,2,"2002, 2010"
P-01968,Hierro,Fernando,1968-03-23,0,1,1,0,4,"1990, 1994, 1998, 2002"
P-00300,Higuaín,Gonzalo,1987-12-10,0,0,0,1,3,"2010, 2014, 2018"
P-03861,Hölzenbein,Bernd,1946-03-09,0,0,0,1,2,"1974, 1978"
P-04468,Honda,Keisuke,1986-06-13,0,0,1,0,3,"2010, 2014, 2018"
P-04298,Hong,Myung-bo,1969-02-12,0,1,0,0,4,"1990, 1994, 1998, 2002"
P-06792,Horvat,Ivica,1926-07-16,0,1,0,0,2,"1950, 1954"
P-00371,Höttges,Horst-Dieter,1943-09-10,0,1,0,0,3,"1966, 1970, 1974"
P-01388,Houseman,René,1953-07-19,0,0,1,1,2,"1974, 1978"
P-09012,Howard,Tim,1979-03-06,1,0,0,0,3,"2006, 2010, 2014"
P-00924,Hunter,Norman,1943-10-29,0,1,0,0,2,"1966, 1970"
P-03234,Hurst,Geoff,1941-12-08,0,0,0,1,2,"1966, 1970"
P-03321,Hwang,Sun-hong,1968-07-14,0,0,0,1,4,"1990, 1994, 1998, 2002"
P-03800,Inamoto,Junichi,1979-09-18,0,0,1,0,3,"2002, 2006, 2010"
P-02237,Iniesta,Andrés,1984-05-11,0,0,1,0,4,"2006, 2010, 2014, 2018"
P-09404,Inzaghi,Filippo,1973-08-09,0,0,0,1,3,"1998, 2002, 2006"
P-03541,Islas,Luis,1965-12-22,1,0,0,0,2,"1986, 1994"
P-06901,Ivanović,Branislav,1984-02-22,0,1,0,0,2,"2010, 2018"
P-07877,Jairzinho,not applicable,1944-12-25,0,0,1,1,3,"1966, 1970, 1974"
P-07228,James,David,1970-08-01,1,0,0,0,3,"2002, 2006, 2010"
P-03221,Jansen,Wim,1946-10-28,0,1,1,0,2,"1974, 1978"
P-00520,Jardine,Sandy,1948-12-31,0,1,0,0,2,"1974, 1978"
P-08556,Jarni,Robert,1968-10-26,0,1,1,0,3,"1990, 1998, 2002"
P-08920,Jedinak,Mile,1984-08-03,0,0,1,0,3,"2010, 2014, 2018"
P-04663,Jerković,Jurica,1950-02-25,0,0,1,0,2,"1974, 1982"
P-08857,Jones,Cobi,1970-06-16,0,0,1,0,3,"1994, 1998, 2002"
P-05505,Jongbloed,Jan,1940-11-25,1,0,0,0,2,"1974, 1978"
P-05720,Jordan,Joe,1951-12-15,0,0,0,1,3,"1974, 1978, 1982"
P-05052,Jørgensen,Martin,1975-10-06,0,0,1,0,3,"1998, 2002, 2010"
P-04549,Juliano,Antonio,1943-01-01,0,1,1,1,3,"1966, 1970, 1974"
P-04412,Kahn,Oliver,1969-06-15,1,0,0,0,4,"1994, 1998, 2002, 2006"
P-02726,Kaká,not applicable,1982-04-22,0,0,1,0,3,"2002, 2006, 2010"
P-05959,Kalla,Raymond,1975-04-22,0,1,0,0,3,"1994, 1998, 2002"
P-02869,Kameni,Carlos,1984-02-18,1,0,0,0,2,"2002, 2010"
P-07396,Kanu,Nwankwo,1976-08-01,0,0,0,1,3,"1998, 2002, 2010"
P-09331,Karlsson,Kent,1945-11-25,0,1,0,0,2,"1974, 1978"
P-02414,Karpin,Valeri,1969-02-02,0,0,1,0,2,"1994, 2002"
P-06372,Kasperczak,Henryk,1946-07-10,0,0,1,0,2,"1974, 1978"
P-02907,Kavazashvili,Anzor,1940-07-19,1,0,0,0,2,"1966, 1970"
P-08595,Kawaguchi,Yoshikatsu,1975-08-15,1,0,0,0,4,"1998, 2002, 2006, 2010"
P-05712,Kawashima,Eiji,1983-03-20,1,0,0,0,3,"2010, 2014, 2018"
P-03086,Keane,Roy,1971-08-10,0,0,1,0,2,"1994, 2002"
P-05012,Keller,Kasey,1969-11-29,1,0,0,0,4,"1990, 1998, 2002, 2006"
P-00503,Kelly,Alan,1968-08-11,1,0,0,0,2,"1994, 2002"
P-01541,Kelly,Gary,1974-07-09,0,1,0,0,2,"1994, 2002"
P-07202,Kempes,Mario,1954-07-15,0,0,0,1,3,"1974, 1978, 1982"
P-04094,Kernen,Willy,1929-08-06,0,1,1,0,3,"1950, 1954, 1962"
P-08283,Kerzhakov,Aleksandr,1982-11-27,0,0,0,1,2,"2002, 2014"
P-00049,Khedira,Sami,1987-04-04,0,0,1,0,3,"2010, 2014, 2018"
P-01293,Khidiyatullin,Vagiz,1959-03-03,0,1,0,0,2,"1982, 1990"
P-08475,Khurtsilava,Murtaz,1943-01-05,0,1,1,0,2,"1966, 1970"
P-05571,Ki,Sung-yueng,1989-01-24,0,0,1,0,3,"2010, 2014, 2018"
P-02932,Kim,Joo-sung,1966-01-17,0,0,1,0,3,"1986, 1990, 1994"
P-00295,Kim,Nam-il,1977-03-14,0,0,1,0,3,"2002, 2006, 2010"
P-04197,Kindvall,Ove,1943-05-16,0,0,1,1,2,"1970, 1974"
P-01435,Kjær,Simon,1989-03-26,0,1,0,0,2,"2010, 2018"
P-06994,Kléberson,not applicable,1979-06-19,0,0,1,0,2,"2002, 2010"
P-00876,Klinsmann,Jürgen,1964-07-30,0,0,0,1,3,"1990, 1994, 1998"
P-05239,Klose,Miroslav,1978-06-09,0,0,0,1,4,"2002, 2006, 2010, 2014"
P-09300,Kohler,Jürgen,1965-10-06,0,1,0,0,3,"1990, 1994, 1998"
